text,sentiment
"Tyrv+ñinen is of the opinion that the airline has been repeating this for some time already , however .",neutral
"After buying Eukor Car Carriers 50 percent stake , Grimaldi Group is now the sole owner of the Swedish roll-on , roll-off port of Wallhamn .",neutral
"A total of 15,000 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed between 17 and 23 March 2006 exercising the A-B-C options based on the company 's stock option plan 1999 .",neutral
"Finnish property investment company Citycon will expand and refurbish +àkersberga shopping center in Stockholm , in Sweden .",neutral
Okmetic Board of Directors has also decided on a new share ownership program directed to the company 's top management .,neutral
"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m .",neutral
"Simmons Elected DCUC Chairman PORTSMOUTH , N.H.-Gordon A. Simmons , CEO of Service Credit Union , has been elected chairman of the Defense Credit Union Council for the 2007-2008 term .",neutral
"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .",neutral
The company specialises in temporary electrification and heating at construction sites .,neutral
Bluewin Security is available as a monthly subscription .,neutral
The contract is for next year .,neutral
"Mr. McDonald started the evening with his own set , featuring hits from his solo career and his Doobie Brothers years and a selection of R&B cover songs that met with mixed results .",neutral
Customers include hotels and restaurants as well as wholesalers and some retailers .,neutral
"Sponda is a property investment company , specialising in commercial properties in the largest cities in Finland and Russia .",neutral
It has some 30 offices worldwide and more than 90 pct of its net sales are generated outside Finland .,neutral
"Investments span across various product and investment types , including retail , hospitality , office , and residential , with interests in real-estate portfolios , non-performing loans and corporate restructurings .",neutral
"The contract also includes cutting and edging wagon parts at Ruukki 's steel service centres in Seinajoki and Raahe , both in southwestern Finland , from where they will be delivered to VR for welding and assembly .",neutral
Protalix is developing genetically engineered proteins from plant cells .,neutral
"In a release on Oct. 28 , Peab said the two businesses will continue to be conducted under the brands Cliffton and Stockholm Entreprenad , both part of the Peab Group .",neutral
The indexes include the top companies that are committed to sustainable development .,neutral
This corresponds to 6.81 percent of Okmetic 's share capital and voting rights .,neutral
High winds also toppled three semi-trailers on I-15 north of Barstow .,neutral
"---------------------------------------------------------------------- -------------- Munich , 14 January 2008 : BAVARIA Industriekapital AG closed the acquisition of Elcoteq Communications Technology GmbH in Offenburg , Germany , with the approval of the",neutral
"Includes company and brand share data by category , as well as distribution channel data .",neutral
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",neutral
Production at the plant will be based on Neste Oil 's proprietary technology that can use a flexible input of any vegetable oil or animal fat .,neutral
"The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom , a company acquired by Teleste last spring .",neutral
No pricing details were disclosed .,neutral
"Unlisted British Biologicals makes B - and D - proteins , and other disease-specific supplements that cover diabetes , hepatitis , asthma and other cardiovascular ailments .",neutral
The statutory negotiations at headquarters are part of this decrease .,neutral
"The firm 's UK head office is in Rugby Road , Lutterworth .",neutral
The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News .,neutral
"Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region .",neutral
ND = Not disclosed .,neutral
Uponor maintains its full-year guidance for 2010 .,neutral
"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .",neutral
"Cramo 's manager Jarmo Laasanen said hiring of equipment and machinery in Lithuania differs from the other Baltic countries in that in Lithuania still many public structures such as roads , bridges , airports and shops are being built .",neutral
"Rohwedder Group is an automotive supplies , telecommunications and electronics industry provider for customers in Europe , North America and Asia .",neutral
"The Marubeni Group focuses on creating `` value chain '' from upstream to downstream , encompassing a wide variety of business fields , including oil & gas , metals , mineral resources , foods , pulp & paper and chemicals , among others .",neutral
"It now owns 80,565 shares in Amer Sports Corporation , equaling 0.11 % of the company 's share capital and voting rights .",neutral
"The changes will take effect on 1 January 2010 , and they are not estimated to have an impact on the number of employees .",neutral
"The buildings , with about 40 condominiums each , will be built in 4 or 5 stages .",neutral
"Ahlstrom , headquartered in Helsinki , Finland , is a global leader in the development , manufacture and marketing of high performance fibre-based materials .",neutral
"Country : , Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Closed",neutral
The company 's net sales in 2010 totalled MEUR 311.4 with an operating margin of 13.9 per cent .,neutral
"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",neutral
"Trading in the new shares , which have right to dividends and other distributions of funds , will start on the exchange in Helsinki tomorrow .",neutral
"New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions .",neutral
"The casing comprises a first side casing member provided with the first side vat segment and a second side casing member provided with the second side vat segment , at least the first side casing member being pivotable about a rotation axis .",neutral
The company closed last year with a turnover of about four million euros .,neutral
"Seppala transferred the sale to a greater extent than last year to February , and this is reflected on the January sales figures .",neutral
Rapala VMC Corporation ( Rapala ) is a Finland-based company engaged in the manufacture and distribution of fishing equipment and accessories .,neutral
"The firm 's services include copying , printing , CAD-modelling , digital printing , scanning , SokoPro project bank and courier services .",neutral
"The Finnish company is building a 800,000 mt-year biodiesel plant in Singapore .",neutral
The agreement must be approved by the Russian competition authorities before it enters into force .,neutral
"Entire paper mills may be set up , especially in the new EU member states .",neutral
"In 2007 , Etteplan had turnover of EUR125 .2 m.",neutral
"The EBRD is using its own funds to provide a 21.6 million A loan while the B portion of 10 million Euros has been syndicated to two Finnish commercial banks , Nordea Bank Finland Plc and Pohjola Bank Plc. .",neutral
It posted a turnover of 4.5 mln euro $ 6.1 mln and an operating profit of 1.5 mln euro $ 2.0 mln for 2006 .,neutral
"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .",neutral
"During the past 10 years the factory has produced many of Nokia 's most popular models including the Nokia 2760 , the Nokia 6300 as well as Nokia 's latest music device the Nokia 5800 Express Music .",neutral
He will report to CapMan Plc 's CEO Heikki Westerlund .,neutral
Increase in the number of shares is based on the option rights which were granted to the management of the company under the stock option plan 2006 .,neutral
No financial or pricing details were disclosed .,neutral
Financial details were not disclosed .,neutral
"ALEXANDRIA , Va. , Oct. 3 -- Markka A. Oksanen and Harald Kaaja , both of Helsinki , Finland , Juha Salokannel of Kangasala , Finland , and Arto Palin of Viiala , Finland , have developed a system for providing communications security .",neutral
"Poyry 's contract includes engineering management , civil and detail engineering services , and time scheduling and procurement services .",neutral
"The company designs and manufactures high-quality clothing , interior decoration textiles , bags , and other accessories .",neutral
"Taking a cue from the playbook of the East Dillon Lions , we 've created a special team of heavy-hitting style players , such as boot-cut jeans , tummy tops and , of course , cowboy boots .",neutral
An Apple spokeswoman said the company declined to comment .,neutral
"Featuring the S60 user interface , this 135-gram model also comes with a 2.4-inch quarter VGA display and 100 megabytes of internal memory , expandable through the Micro Secure Digital slot .",neutral
Construction is expected to be completed in the summer of 2011 .,neutral
"Thus the group 's balance sheet will have about EUR25 .8 m of goodwill , the company added .",neutral
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",neutral
The company has exported into about twenty European countries as well as to Africa .,neutral
A quick `` one-stop-shop '' to understand the company .,neutral
"Currently the Terminator lures are produced in a subcontract facility in Mexico but the manufacturing will be transferred to Rapala 's factory in Shenzhen , China .",neutral
"Affecto will provide a new EFI Data Warehouse and reporting solution , behavioural scoring system supporting operational decision processes and Data Migration from old legacy systems to the new EFI system .",neutral
It is expected to be online by 2011 .,neutral
Tekla Group 's net sales for 2005 were approximately 38 million euros .,neutral
Satama and Trainers ' House will remain as names and independent brands of the business areas .,neutral
"The purchase price will be paid in cash upon the closure of the transaction , scheduled for April 1 , 2009 .",neutral
Pharmaceutical market in Czech Republic Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Czech Republic .,neutral
The company does not disclose the sum it applied for .,neutral
"China Unicom , NYSE : CHU , HKSE : 0762 , and SHSE : 600050 , the second largest mobile carrier in the country .",neutral
The annual value of the contracts is estimated at USD 2mn over the next three years .,neutral
RSA 's shares closed at 156.9 p at the time of going to press .,neutral
"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries .",neutral
"The Apple Inc. iPhone wo n't change the game plan for Verizon Communications Inc. , Chief Executive Ivan Seidenberg said Wednesday .",neutral
The deal was worth about EUR 1.2 mn .,neutral
Rihko started to manage Raisio 's Benecol business in summer 2006 after heading tobacco company Altadis ' European operations .,neutral
"The total investment in the company will be EUR58m , of which Wartsila 's share will be EUR29m .",neutral
Terms were not disclosed .,neutral
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland .",neutral
The plant is expected to start production in the first half of 2007 .,neutral
"The new company , DiaPol S.r.l. , would manufacture tools meant for glass and stone pre-processing .",neutral
"The parties have also agreed that L+ñnnen Tehtaat has the right to sell the remaining shares in Suomen Rehu to Hankkija-Maatalous 15 months after the purchase of the majority holding , at the earliest .",neutral
Customers in a wide range of industries use our stainless steel and services worldwide .,neutral
Mr Skogster currently serves as the manager responsible for ABB Oy 's system modules for low voltage drives .,neutral
"In volume , the focus is already outside Finland , as 60 % of the group 's products are made in Poland and the Baltic countries .",neutral
Decisions are to be made as quickly as possible .,neutral
The value of the total investment is about EUR 600mn .,neutral
Finnish energy company Fortum has set itself new stricter target limits for short-term carbon dioxide emissions from its heat and electricity production .,neutral
About Dopplr Dopplr is a service for smart travellers .,neutral
Price talk is in the Euribor plus 2 bps area and the sole lead is Citigroup .,neutral
You 're not alone .,neutral
"Latin America currently accounts for approximately 40 % of sales at Finnish BSS-OSS and VAS supplier for telecoms operators Tecnotree , company president and CEO Eero Mertano told BNamericas .",neutral
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",neutral
"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",neutral
"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",neutral
"Our key geographical markets are Europe , Russian Federation , Middle-East , South-Africa and Japan .",neutral
These module products will be available for trials during 3Q-07 and for volume deliveries during 4Q-07 .,neutral
"The business had gross written premiums of EUR152 .4 m (  91.5 m ) in 2000 , a net combined ratio of 133 % and 175 staff in total with offices in the UK , Germany and Benelux .",neutral
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",neutral
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,neutral
Neither of the companies use genetically engineered soy at the moment .,neutral
Fortum had previously bought the state-held stake in TGK-10 from RAO UES during its reform .,neutral
And Ogden reportedly will shell out $ 4.2 million .,neutral
Dragonfly Love is another video shot from start to finish using the Nokia N8 .,neutral
"Glaston , headquartered in Tampere , Finland , is a growing and international glass technology company .",neutral
"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital .",neutral
The project also implies an underground parking lot for 56 vehicles .,neutral
The capital structure of Solidium may be complemented by other financial instruments in the future .,neutral
Among the biggest Christmas sellers were a  35 satin bow shift dress styled on outfits worn by Victoria Beckham and a  75 Paris Hilton Prom dress .,neutral
Delivery is expected to take place later this month .,neutral
"It is necessary to strengthen the company 's operations , however .",neutral
Radiation and today is a full service house expert in radiation and nuclear safety issues .,neutral
"Founded in 1923 , Finnair is one of the world 's oldest airlines and flies to 60 destinations with a fleet of 63 aircraft , employing 9,500 people .",neutral
"Finnish Konecranes is again trying to acquire Italian Fantuzzi , a manufacturer of gantry cranes and reach stackers .",neutral
"The cooperation will involve Arena Partners buying a 35 % share of the new joint venture company , operating in Alma Media 's home sales , vehicle and consumer advertising marketplace businesses .",neutral
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress .,neutral
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",neutral
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral
`` We are selling an information systems development business to the Finns .,neutral
All Amer Sports companies develop and manufacture technically advanced products that improve the performance of active sports participants .,neutral
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral
"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 .",neutral
"OVA Press has a 60 % stake in the joint venture , while IMSM holds a 40 % stake .",neutral
The initial estimated total value was 1744900 EUR and the final award value was 1744900 EUR .,neutral
"The donations are granted to Aalto University and the universities of Helsinki , Tampere , Turku , Eastern Finland , Jyv+ñskyl+ñ , Oulu and Vaasa , and to polytechnics to be announced later .",neutral
Name of Company in which holdings have been acquired : Citycon Oyj 2 .,neutral
Investment management and investment advisory services are the company 's sole line of business .,neutral
Aldata noted that its Voice Supply Chain Technology approach enables VDW to integrate with warehouse management systems .,neutral
The transaction value is CAD 15 million approximately EUR 10 million .,neutral
Operating profit for the quarter April-June 2006 amounted to EUR42 .9 m on net sales of EUR156 .3 m.,neutral
The terms and conditions of Stock Option Scheme 2004 are available on the Group 's website .,neutral
The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,neutral
"The new Kroksberg railway tunnel will be built on a new section of track between Harnosand and Veda , forming part of the line that follows the coast of the Gulf of Bothnia .",neutral
The beers differ slightly from mainstream beers .,neutral
Performance is based on values and sustainability .,neutral
"The order includes a log handling line , peeling line and drying line for the production of parquet base layer veneer for Plyfa 's Hassela mill , central Sweden .",neutral
The availability of the Internet services is highlighted in the service offer of Kesko 's K-Group stores .,neutral
"It will be operated by Nokia , and supported by its Nokia NetAct network and service management system .",neutral
"A. Le Coq Special was developed for the bicentenary of the company and the trade mark , the brewer said .",neutral
"Finnish property investor Sponda said it has agreed a 100 mln eur , five-year mln credit facility with Swedbank and a 50 mln eur , seven-year facility with OKO Bank .",neutral
"Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide .",neutral
A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,neutral
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,neutral
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,neutral
Public services will also be available .,neutral
"Finnish software company QPR Software Plc ( OMX Helsinki : QPR1V ) reported on Thursday ( 23 October ) an operating profit of EUR63 ,000 on net sales of EUR1 .5 m for the third quarter 2008 .",neutral
"The port facilities ' throughput is 250,000 TEUs and 7.5 mln tons of general cargo .",neutral
"In addition , MIDs are always online and enable full Internet browsing .",neutral
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,neutral
The use of validation rule base enables verifying that processing rule bases managed by different administrators fulfil some set requirements .,neutral
The deliveries started in April 2006 and will be completed in 2007 .,neutral
"`` We have a group of 120 volunteers made up of Digicel employees who will manage the distribution ... Over the next week , they will distribute the 19,000 tents to more than 150 organizations , '' Digicel Haiti CEO Maarten Boute said .",neutral
"With this , the company will exit the contract manufacturing service segment .",neutral
"Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 , Kari Mikkonen , vice president of Technopolis , told reporters in Helsinki .",neutral
Renesas Mobile Europe Ltd has approximately 470 employees in Oulu .,neutral
"The divested company is part of TietoEnator 's business area Government , Manufacturing & Retail .",neutral
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral
"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .",neutral
The exercise originated in Finland in the early 1930s as a training method for cross-country skiers .,neutral
"The rewards to be paid on the basis of the earning period 2011 will correspond to the value of a maximum total of 364,000 Componenta Corporation shares including also the proportion to be paid in cash .",neutral
"- Inge Larsen (CFO), 29,045 shares , representing 0.50 % of the share capital .",neutral
"In the spring 2006 , a total of 386,530 Stock Options 2002 B were annulled .",neutral
"Initial estimated total value of the contract was 250 000 Euros , excluding VAT .",neutral
"Founded in 1946 , Strand Associates , which provides civil , environmental , transportation , electrical and mechanical engineering services , has 350 employees at 10 offices in Wisconsin , Alabama , Illinois , Indiana , Kentucky and Ohio .",neutral
"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",neutral
Russia 's Video International Group holds a controlling stake in Russian Media Ventures .,neutral
The expanded company will continue to be called NewPage .,neutral
The use case dramatically narrows if you go only with the hot s Ltd.,neutral
"Nevertheless , the development can not be allowed to ruin the print newspaper , which continues to be Sanoma News ' main medium .",neutral
"The mill 's raw material need will increase by 100,000 m3 of wood .",neutral
"Water Treatment Products In Australia Today , Global Research & Data Services is going to publish a market analysis about the market for chemical water treatment products in Australia .",neutral
Approval by shareholders of Cencorp in accordance with Finnish law .,neutral
The implementation of the deal is subject to the approval by the Finnish Competition Authority .,neutral
"Aldata Solution Oyj Thomas Hoyer CFO More information : Aldata Solution Oyj , Thomas Hoyer , CFO , tel. +358 45 670 0491 Aldata in brief Aldata Solution is one of the global leaders in supply chain software for retail , wholesale and logistics companies .",neutral
"About 36 % of this came from Aspo Chemicals , 39 % from Aspo Shipping and 25 % from Aspo Systems .",neutral
"The company is in charge of all natural gas storage activities in France , Great Britain , and Germany .",neutral
Risk exposure by Non-life Insurance  Moving 12-month  Expenses by function in Non-life Insurance excluding expenses for investment management and expenses for other services rendered Non-life Insurance investment portfolio by allocation,neutral
Vaisala 's board of directors will propose a dividend of 0.85 euro $ 1.24 per share at the company 's annual general meeting .,neutral
"CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said .",neutral
"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics .",neutral
The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .,neutral
"New Delhi , July 17 -- Sahlberg Teppo , Kallio Timo and Mustonen Tuomas of M Real OYJ , Espoo , Finland have developed novel markings and methods of producing the same .",neutral
"no compensation for its news , opinions or distributions .",neutral
"The record date for dividend distribution is March 14 , 2008 .",neutral
"The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group .",neutral
The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release .,neutral
Finnish publishing and printing group Ilkka-Yhtym+ñ will introduced a staff smoking ban as of the beginning of 2007 at the company 's three newspapers .,neutral
"Below are consolidated , unaudited results for Amanda Capital under IFRS reporting standards .",neutral
"When the negotiations were started , Neste Oil anticipated that 450 people would be affected .",neutral
"Tyrvaan Sanomat , published twice a week by Tyrvaan Sanomat Oy , appears in Sastamala and Kiikoinen .",neutral
Danske Bank is Denmark 's largest bank with 3.5 million customers .,neutral
"Nokia said it still expects to sell 150 more million Symbian devices in years to come , giving an indication of how it expects the Phone 7 handoff to work .",neutral
"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing .",neutral
"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",neutral
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",neutral
Teleste was set up in 1954 and is divided into Broadband Cable Networks and Video Networks business areas .,neutral
"CapMan , an asset manager , has EUR 3bn worth of assets under management in the Nordic region .",neutral
The order also includes start-up and commissioning services .,neutral
"Weber convinced his friend Ray Ostrom , who owned a Lake Street sporting goods store , to sell the lures .",neutral
"EQ Bank forecasts Olvi 's net sales at EUR 67mn in the second quarter of 2009 , and operating profit at EUR 6.4 mn .",neutral
"As a result , it has started negotiations with the banks on provisional amendments concerning the covenants and other credit terms .",neutral
"Reporting in accordance with the merged business operations will start as of January 1 , 2011 .",neutral
Production is scheduled to start by the end of April 2007 .,neutral
The company expects meat purchases to remain at about 8mn kilos in 2011 .,neutral
The handset maker did not disclose any financial details .,neutral
The company website is www.ahlstrom.com .,neutral
The Finnish textiles and clothing company Marimekko Corporation ( OMX Helsinki : MMO1V ) reported on Wednesday ( 5 November ) an operating profit of EUR8 .1 m on net sales of EUR59m for the period from January to September 2008 .,neutral
Veracel is preparing an appeal in the issue and has asked the court for clarification of the judgement .,neutral
The difference can be explained by the fact that two shipping companies have stopped operating in the Gulf of Finland .,neutral
"One can also apply for jobs directly from the iPad , select which CV to attach and which covering letter is most appropriate for each position .",neutral
"Elcoteq SE Stock Exchange Announcement February 4 , 2009 at 10.00 am ( EET ) Elcoteq will publish its financial statements bulletin 2008 on Wednesday , February 11 , at 9.00 am ( EET ) .",neutral
Tielinja generated net sales of 7.5 mln euro $ 9.6 mln in 2005 .,neutral
"Yara Suomi Ltd also provides nitrogen chemicals and technical nitrates to various sectors of industry , as well as products used in environmental protection .",neutral
"Among other industrial stocks , Metso added 0.53 pct to 40.04 eur , Wartsila B was down 0.77 pct at 47.87 eur and Rautaruukki K was 1.08 pct lower at 37.56 eur .",neutral
"` Nordea 's definitely too big for Sampo to acquire , ' said an analyst ` But Sampo would appear to have an agenda for Nordea ahead of the privatisation .",neutral
Metso 's delivery will include a complete coated board line with related air systems and two winders .,neutral
"The company will publish its financial statement for 2008 on February 25 , 2009 .",neutral
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral
The fine print is here .,neutral
"In 2007 , Alma Media 's operating profit was about EUR 53mn .",neutral
"The newly-completed Allure of the Seas and its identical sister ship , Oasis of the Seas , which was completed last year are the world 's largest cruise ships .",neutral
"Tikkurila , a division of Kemira group , controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. .",neutral
The agreement is valid for four years .,neutral
"On 25 August 2009 , Sampo 's stake in Nordea was 19.45 % .",neutral
"EQT has completed its exit from Salcomp , a Finnish company that makes mobile phone chargers , by selling its remaining stake to Swedish investment group Nordstjernan for about ( EURO ) 35 million ( $ 47 million ) .",neutral
"Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don .",neutral
"shock phase ' , consumers have once again started to plan and implement building projects .",neutral
"LCS 's services cover the whole life cycle of software and information systems , from process modelling and tailored software development , to hosting services , solution management , maintenance and support .",neutral
Nordea 's chairman of the board Hans Dalborg has informed the nomination committee that he will not be up for re-election at the Annual General Meeting in 2011 .,neutral
"The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland , the paper added .",neutral
"The company offers payroll services , including payroll processing , payroll tax administration , and employee pay services , including direct deposit , check signing , and Readychex .",neutral
We are pleased to invite you to join M-real 's international conference call at 3:00 p.m. EET .,neutral
"The business transfer will take effect from 1 January 2007 , and in connection with this 47 employees will transfer from Elisa to Daxtum as continuing employees .",neutral
Protalix has $ 42 million in cash and no sales .,neutral
"A total of 38,244 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed on 19 April exercising the A-B-C options based on the company 's stock option plan 1999 .",neutral
"The acquired business main asset is a mobile authentication and signing solution , branded as Tectia MobileID , which provides authentication to web e-mail , SSL-VPN , MS SharePoint , Tectia Secure Solutions and other applications and resources .",neutral
"`` I 'm trying to deal with slavery from a different perspective to balance the story , '' says DeRamus , formerly a writer at the Detroit Free Press and the Detroit News .",neutral
Strategic and operational business information is objectively reported .,neutral
"The report profiles 614 companies including many key and niche players worldwide such as Black & Decker Corporation , Fiskars Corporation , Fiskars Brands , Inc. , Husqvarna Outdoor Products Inc. , K+S Group , Ryobi Technologies , Inc. , The Scotts Miracle-Gro Company , and Van Group , Inc. .",neutral
No financial details were reported .,neutral
Pentik+ñinen emphasises that the most of the internet contents media houses provide can not be free forever .,neutral
"Operators only need to learn how to use one device for multiple levels of applications , including voice-directed operations .",neutral
This wood lacquered clock comes with a stripy hand-crocheted cover .,neutral
"The payment date is March 25 , 2010 .",neutral
It 's not .,neutral
"It operates under three distinct brands : United Supermarkets , Market Street and United Supermercado .",neutral
Mr Jortikka is president of the base metal division of Outotec Oyj in Finland and is on the executive committee of Outotec .,neutral
Construction is scheduled to start in April-June 2007 and to be completed in early 2008 .,neutral
COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .,neutral
GyPSii service supports ten different languages including Korean and Russian .,neutral
Sanoma announced the Stock Option Scheme 2008 on 19 December 2008 .,neutral
The contract includes an option to deliver an additional 75 ASCs in the next phases of the project .,neutral
`` Directors and shareholders alike should ask why these practices were allowed to continue . '',neutral
Net profit in the period in 2009 was ( EURO ) 29 million .,neutral
Two other sites will be included later on .,neutral
The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,neutral
"Cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space .",neutral
"The contract also includes installation work in a new multistorey carpark for close on 1,000 vehicles .",neutral
Yakima created the position for him after emerging from economic downturns of its own .,neutral
Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',neutral
"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",neutral
Active shipping is essential for Finland .,neutral
A huge issue for us is the button placement .,neutral
Cymed 's net sales are expected to amount to EUR 3.5 mn in 2006 .,neutral
"- The Group -¦ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .",neutral
"The recruitment is related to the relocation of Stora Enso 's research operations to Karlstad , central Sweden .",neutral
Our tools are specifically designed with the needs of both the business users and ICT experts in mind .,neutral
"The final price will be specified by 14 May 2010 , the acquiring company said .",neutral
"An acquisition of TeliaSonera would be France Telecom 's biggest since its 2000 purchase of Orange plc for  27.8 billion ( $ 55.1 billion ) and would create the world 's fourth-largest telecom company behind AT&T Inc. , Verizon Communications Inc. and NTT Corp. of Japan .",neutral
"Neste Oil Corporation is a refining and marketing company concentrating on clean , high-quality traffic fuels .",neutral
"The firm is headquartered in Vantaa , southern Finland and has 16 employees .",neutral
Insurance policies should be simple .,neutral
Ixonos will finance the acquisition through a 3.8 mln euro $ 5.2 mln loan .,neutral
A PLUMBING business has announced it is sponsoring a professional darts player .,neutral
"The sellers include 40 shareholders , including Intellibis management , employees and other investors .",neutral
The tower 's engineers have created an 18 degree westward lean - four times the inclination on the Leaning Tower of Pisa - using diagrid structures that are aligned geometrically using Tekla Structures BIM ( Building Information Modeling ) software .,neutral
"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .",neutral
"Net sales by the Sata-Flexo Group came to some EUR4 .3 m in 2007 , and the group companies employed a total of 40 people .",neutral
The bond has a value of EUR150m and a maturity of 4 years .,neutral
Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .,neutral
"While I cant understand what theyre saying , its impressive to watch him hit that ball at those speeds .",neutral
FCC Chairman Kevin Martin said that fair play required extending the same deregulatory rules to the digital subscriber lines that telecom providers use for broadband networks .,neutral
"The report profiles 158 companies including many key and niche players including major Nonwovens manufacturers such as Ahlstrom Corporation , Asahi Kasei Corporation , Buckeye Technologies , Inc. , EI .",neutral
